Intent|Response

greet|"Welcome to our Restaurant Reservation System. How can I assist you today?"
greet|"Hello and thank you for choosing our Restaurant Booking Service. What can I help you with today?"
greet|"Good day! You've reached our Restaurant Assistance. How may I be of service?"
greet|"Hi there! Welcome to our Online Restaurant Booking System. What would you like to do today?"
greet|"Greetings! How can our Restaurant Reservation Desk help you today?"
greet|"Welcome! I'm here to help with your restaurant reservations. What do you need assistance with?"
greet|"Hello! How can I assist you with your dining booking today?"
greet|"Good to see you here! How may our Restaurant Reservation System be of service to you?"
greet|"Welcome to our restaurant booking service. Do you need help with a reservation?"
greet|"Hi, and welcome to our Restaurant Booking Platform. What assistance can I provide today?"
greet|"Hello and welcome! How can I make your restaurant reservation process easier today?"
greet|"Welcome to our restaurant reservation help desk. What specific assistance do you require?"
greet|"Hi! Welcome to our Restaurant Booking Assistance. Can I help you with a reservation?"
greet|"Greetings from our Restaurant Reservation Center! How may I assist you in booking your meal?"
greet|"Welcome! Ready to assist with your restaurant booking. What would you like to know?"
greet|"Hello, welcome to our Restaurant Booking Service. How can we make your reservation experience seamless today?"
greet|"Good day and welcome! How can I help you with your restaurant reservation needs?"
greet|"Hi! Here at the Restaurant Reservation System,"

opening_hours|"We're open from 10 AM to 11 PM on weekdays, and from 9 AM to midnight on weekends."
opening_hours|"Our restaurant welcomes guests from 10 AM to 11 PM during weekdays and 9 AM to 12 AM on weekends."
opening_hours|"We operate from 10 in the morning to 11 in the evening on weekdays, and extend till midnight on weekends."
opening_hours|"You can visit us any time between 10 AM to 11 PM on weekdays and 9 AM to midnight over the weekend."
opening_hours|"Our doors are open for you from 10 AM until 11 PM on weekdays and 9 AM to 12 AM on weekends."

vegan_options|"Absolutely! We have a range of vegan options including our special Vegan Delight pizza and Vegan Pasta Primavera."
vegan_options|"Yes, our menu includes various vegan dishes like the Vegan Delight pizza and the Vegan Pasta Primavera."
vegan_options|"Certainly! We offer vegan-friendly meals such as Vegan Delight pizza and Vegan Pasta Primavera."
vegan_options|"Of course! Our vegan selection includes dishes like Vegan Delight pizza and Vegan Pasta Primavera."
vegan_options|"Sure! Our menu features vegan options like the Vegan Delight pizza and the delicious Vegan Pasta Primavera."

large_group_booking|"Of course! We can accommodate large groups. Please let us know the number of people and the date, and we'll arrange everything for you."
large_group_booking|"Absolutely, we welcome large groups. Just provide us with the details, and we'll set it up."
large_group_booking|"Sure thing! We're well-equipped to host large groups. Please share your requirements, and we'll handle the rest."
large_group_booking|"Yes, we can arrange seating for large groups. Please tell us the number of guests and your preferred date."
large_group_booking|"Certainly! We're happy to accommodate large parties. Just give us the headcount and the date."

popular_dish|"Our most popular dish is the Pizza Margherita, priced at 13 Pounds. It's a favorite among our guests!"
popular_dish|"The crowd's favorite is our Pizza Margherita, which comes at 13 Pounds. It's a must-try!"
popular_dish|"Pizza Margherita is our top-selling dish, and it's available for 13 Pounds. Highly recommended!"
popular_dish|"Most of our guests love the Pizza Margherita, and it's priced at 13 Pounds. Definitely worth a try!"
popular_dish|"The Pizza Margherita is our best-seller and is priced at 13 Pounds. It's loved by all our customers!"


bot_capabilities|"I can assist with reservations, menu inquiries, and more. For admins, I offer the ability to view all reservations and clear them if needed."
bot_capabilities|"I can help you book a table or check the menu. Additionally, if you're an admin, I can provide access to view and manage all table reservations."
bot_capabilities|"Aside from booking tables, I can also provide you with our latest menu and answer any queries about our restaurant. Admins have the added capability of viewing and clearing all reservations."
bot_capabilities|"I'm equipped to assist with table reservations, presenting our menu options, and providing information about our dining services. For administrative users, I can show all current reservations and clear them on request."
